title,year
"Avengers, The",1998
Captain America: The First Avenger,2011
Avengers: Age of Ultron,2015
Iron Man,2008
Toy Story,1995
Jumanji,1995
Casino,1995
Dead Man Walking,1995
Mortal Kombat,1995
Casino Royale,2006
Skyfall,2012
"Godfather, The",1972
Harry Potter and the Chamber of Secrets,2002
Harry Potter and the Goblet of Fire,2005
Inception,2010
Catch Me If You Can,2002
Pulp Fiction,1994
"Lord of the Rings, The",1978
Terminator 3: Rise of the Machines,2003
Back to the Future,1985
"Dark Knight, The",2008
Forrest Gump,1994
"Shawshank Redemption, The",1994
Star Trek: Generations,1994
Star Wars: Episode V - The Empire Strikes Back,1980
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1981
"Terminator, The",1984
Titanic,1997
Die Hard,1988
"Matrix, The",1999
Superman,1978
"Wolf of Wall Street, The",2013
Guardians of the Galaxy,2014
Mad Max: Fury Road,2015
"Fast and the Furious, The",2001
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The)",2006
Sherlock Holmes,2009
3 Idiots,2009
Om Shanti Om,2007
2001: A Space Odyssey,1968
Gravity,2013
